reference-system-code;reference-system-code-label;reference-system-code-ref
Anguilla 1957 / British West Indies Grid (EPSG:2000);EPSG:2000;http://www.opengis.net/def/crs/EPSG/0/2000
Pulkovo 1995 / Gauss-Kruger zone 4 (EPSG:20004);EPSG:20004;http://www.opengis.net/def/crs/EPSG/0/20004
Pulkovo 1995 / Gauss-Kruger zone 5 (EPSG:20005);EPSG:20005;http://www.opengis.net/def/crs/EPSG/0/20005
Pulkovo 1995 / Gauss-Kruger zone 6 (EPSG:20006);EPSG:20006;http://www.opengis.net/def/crs/EPSG/0/20006
Pulkovo 1995 / Gauss-Kruger zone 7 (EPSG:20007);EPSG:20007;http://www.opengis.net/def/crs/EPSG/0/20007
Pulkovo 1995 / Gauss-Kruger zone 8 (EPSG:20008);EPSG:20008;http://www.opengis.net/def/crs/EPSG/0/20008
Pulkovo 1995 / Gauss-Kruger zone 9 (EPSG:20009);EPSG:20009;http://www.opengis.net/def/crs/EPSG/0/20009
Antigua 1943 / British West Indies Grid (EPSG:2001);EPSG:2001;http://www.opengis.net/def/crs/EPSG/0/2001
Pulkovo 1995 / Gauss-Kruger zone 10 (EPSG:20010);EPSG:20010;http://www.opengis.net/def/crs/EPSG/0/20010
Pulkovo 1995 / Gauss-Kruger zone 11 (EPSG:20011);EPSG:20011;http://www.opengis.net/def/crs/EPSG/0/20011
Pulkovo 1995 / Gauss-Kruger zone 12 (EPSG:20012);EPSG:20012;http://www.opengis.net/def/crs/EPSG/0/20012
Pulkovo 1995 / Gauss-Kruger zone 13 (EPSG:20013);EPSG:20013;http://www.opengis.net/def/crs/EPSG/0/20013
Pulkovo 1995 / Gauss-Kruger zone 14 (EPSG:20014);EPSG:20014;http://www.opengis.net/def/crs/EPSG/0/20014
Pulkovo 1995 / Gauss-Kruger zone 15 (EPSG:20015);EPSG:20015;http://www.opengis.net/def/crs/EPSG/0/20015
Pulkovo 1995 / Gauss-Kruger zone 16 (EPSG:20016);EPSG:20016;http://www.opengis.net/def/crs/EPSG/0/20016
Pulkovo 1995 / Gauss-Kruger zone 17 (EPSG:20017);EPSG:20017;http://www.opengis.net/def/crs/EPSG/0/20017
Pulkovo 1995 / Gauss-Kruger zone 18 (EPSG:20018);EPSG:20018;http://www.opengis.net/def/crs/EPSG/0/20018
Pulkovo 1995 / Gauss-Kruger zone 19 (EPSG:20019);EPSG:20019;http://www.opengis.net/def/crs/EPSG/0/20019
Dominica 1945 / British West Indies Grid (EPSG:2002);EPSG:2002;http://www.opengis.net/def/crs/EPSG/0/2002
Pulkovo 1995 / Gauss-Kruger zone 20 (EPSG:20020);EPSG:20020;http://www.opengis.net/def/crs/EPSG/0/20020
Pulkovo 1995 / Gauss-Kruger zone 21 (EPSG:20021);EPSG:20021;http://www.opengis.net/def/crs/EPSG/0/20021
Pulkovo 1995 / Gauss-Kruger zone 22 (EPSG:20022);EPSG:20022;http://www.opengis.net/def/crs/EPSG/0/20022
Pulkovo 1995 / Gauss-Kruger zone 23 (EPSG:20023);EPSG:20023;http://www.opengis.net/def/crs/EPSG/0/20023
Pulkovo 1995 / Gauss-Kruger zone 24 (EPSG:20024);EPSG:20024;http://www.opengis.net/def/crs/EPSG/0/20024
Pulkovo 1995 / Gauss-Kruger zone 25 (EPSG:20025);EPSG:20025;http://www.opengis.net/def/crs/EPSG/0/20025
Pulkovo 1995 / Gauss-Kruger zone 26 (EPSG:20026);EPSG:20026;http://www.opengis.net/def/crs/EPSG/0/20026
Pulkovo 1995 / Gauss-Kruger zone 27 (EPSG:20027);EPSG:20027;http://www.opengis.net/def/crs/EPSG/0/20027
Pulkovo 1995 / Gauss-Kruger zone 28 (EPSG:20028);EPSG:20028;http://www.opengis.net/def/crs/EPSG/0/20028
Pulkovo 1995 / Gauss-Kruger zone 29 (EPSG:20029);EPSG:20029;http://www.opengis.net/def/crs/EPSG/0/20029
Grenada 1953 / British West Indies Grid (EPSG:2003);EPSG:2003;http://www.opengis.net/def/crs/EPSG/0/2003
Pulkovo 1995 / Gauss-Kruger zone 30 (EPSG:20030);EPSG:20030;http://www.opengis.net/def/crs/EPSG/0/20030
Pulkovo 1995 / Gauss-Kruger zone 31 (EPSG:20031);EPSG:20031;http://www.opengis.net/def/crs/EPSG/0/20031
Pulkovo 1995 / Gauss-Kruger zone 32 (EPSG:20032);EPSG:20032;http://www.opengis.net/def/crs/EPSG/0/20032
Montserrat 1958 / British West Indies Grid (EPSG:2004);EPSG:2004;http://www.opengis.net/def/crs/EPSG/0/2004
St. Kitts 1955 / British West Indies Grid (EPSG:2005);EPSG:2005;http://www.opengis.net/def/crs/EPSG/0/2005
St. Lucia 1955 / British West Indies Grid (EPSG:2006);EPSG:2006;http://www.opengis.net/def/crs/EPSG/0/2006
Pulkovo 1995 / Gauss-Kruger 4N (EPSG:20064);EPSG:20064;http://www.opengis.net/def/crs/EPSG/0/20064
Pulkovo 1995 / Gauss-Kruger 5N (EPSG:20065);EPSG:20065;http://www.opengis.net/def/crs/EPSG/0/20065
Pulkovo 1995 / Gauss-Kruger 6N (EPSG:20066);EPSG:20066;http://www.opengis.net/def/crs/EPSG/0/20066
Pulkovo 1995 / Gauss-Kruger 7N (EPSG:20067);EPSG:20067;http://www.opengis.net/def/crs/EPSG/0/20067
Pulkovo 1995 / Gauss-Kruger 8N (EPSG:20068);EPSG:20068;http://www.opengis.net/def/crs/EPSG/0/20068
Pulkovo 1995 / Gauss-Kruger 9N (EPSG:20069);EPSG:20069;http://www.opengis.net/def/crs/EPSG/0/20069
St. Vincent 45 / British West Indies Grid (EPSG:2007);EPSG:2007;http://www.opengis.net/def/crs/EPSG/0/2007
Pulkovo 1995 / Gauss-Kruger 10N (EPSG:20070);EPSG:20070;http://www.opengis.net/def/crs/EPSG/0/20070
Pulkovo 1995 / Gauss-Kruger 11N (EPSG:20071);EPSG:20071;http://www.opengis.net/def/crs/EPSG/0/20071
Pulkovo 1995 / Gauss-Kruger 12N (EPSG:20072);EPSG:20072;http://www.opengis.net/def/crs/EPSG/0/20072
