keyword-inspire-theme-label;keyword-inspire-theme-ref
Administratieve eenheden;http://inspire.ec.europa.eu/theme/au
Adressen;http://inspire.ec.europa.eu/theme/ad
Atmosferische omstandigheden;http://inspire.ec.europa.eu/theme/ac
Atmospheric Conditions and meteorological geographical features;http://inspire.ec.europa.eu/theme/ac-mf
Beschermde gebieden;http://inspire.ec.europa.eu/theme/ps
Biogeografische gebieden;http://inspire.ec.europa.eu/theme/br
Bodem;http://inspire.ec.europa.eu/theme/so
Bodemgebruik;http://inspire.ec.europa.eu/theme/lc
Energiebronnen;http://inspire.ec.europa.eu/theme/er
Faciliteiten voor landbouw en aquacultuur;http://inspire.ec.europa.eu/theme/af
Faciliteiten voor productie en industrie;http://inspire.ec.europa.eu/theme/pf
Gebieden met natuurrisico's;http://inspire.ec.europa.eu/theme/nz
Gebiedsbeheer, gebieden waar beperkingen gelden, gereguleerde gebieden en rapportage-eenheden;http://inspire.ec.europa.eu/theme/am
Gebouwen;http://inspire.ec.europa.eu/theme/bu
Geografisch rastersysteem;http://inspire.ec.europa.eu/theme/gg
Geografische namen;http://inspire.ec.europa.eu/theme/gn
Geologie;http://inspire.ec.europa.eu/theme/ge
Habitats en biotopen;http://inspire.ec.europa.eu/theme/hb
Hoogte;http://inspire.ec.europa.eu/theme/el
Hydrografie;http://inspire.ec.europa.eu/theme/hy
Kadastrale percelen;http://inspire.ec.europa.eu/theme/cp
Landgebruik;http://inspire.ec.europa.eu/theme/lu
Menselijke gezondheid en veiligheid;http://inspire.ec.europa.eu/theme/hh
Meteorologische geografische kenmerken;http://inspire.ec.europa.eu/theme/mf
Milieubewakingsvoorzieningen;http://inspire.ec.europa.eu/theme/ef
Minerale bronnen;http://inspire.ec.europa.eu/theme/mr
Nutsdiensten en overheidsdiensten;http://inspire.ec.europa.eu/theme/us
Oceanografische geografische kenmerken;http://inspire.ec.europa.eu/theme/of
Orthobeeldvorming;http://inspire.ec.europa.eu/theme/oi
Spreiding van de bevolking — demografie;http://inspire.ec.europa.eu/theme/pd
Spreiding van soorten;http://inspire.ec.europa.eu/theme/sd
Statistische eenheden;http://inspire.ec.europa.eu/theme/su
Systemen voor verwijzing door middel van coördinaten;http://inspire.ec.europa.eu/theme/rs
Vervoersnetwerken;http://inspire.ec.europa.eu/theme/tn
Zeegebieden;http://inspire.ec.europa.eu/theme/sr
